,date,lon,lat,type,elevation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,distance_light,distance_water,Temperature,U_Wind,V_wind,Precipitation,NDVI,Pop,year_precipitation,month
48,2015/5/8,90.86662732,43.51341245,0,2219,36,13,0,0,0,51,0,0,0,0,0,0,32.99493764,47.58449884,285.08707539999995,2.273098179,-1.633118634,0.00040202,0.234030005,1,154,5
49,2014/6/29,132.87261999999998,45.1487,1,67,0,50,0,0,3,34,13,0,0,0,0,0,50.45621767,3.370844549,296.1508222,1.811503496,3.276340774,0.001094636,0.65959502,3,611,6
50,2015/7/27,132.4935727,45.61709805,0,86,0,82,0,0,18,0,0,0,0,0,0,0,0.914481017,1.72414738,297.2898298,1.300370267,2.086348299,0.000890327,0.73351001,139,562,7
51,2018/9/9,98.40333154,24.15456913,0,1494,0,0,22,53,0,0,19,0,0,6,0,0,17.097793300000006,29.52203443,292.84603010000006,0.131203913,0.273381976,0.0032302,0.8255400390000001,13,1530,9
52,2016/4/19,131.17137,47.21338,1,60,10,33,0,0,0,24,8,26,0,0,0,0,41.85433887,0.0,280.6863752,-0.270687044,0.863118925,0.001888038,0.158540002,1,559,4
53,2015/9/2,104.2956377,23.28222434,0,1304,0,58,0,0,0,32,0,0,0,9,0,0,4.236361704,4.676641786999999,293.06747,-0.27002086,0.325416505,0.003262108,0.55158999,61,1150,9
54,2016/5/30,134.372268,48.049845,1,61,30,20,0,0,0,26,21,0,3,0,0,0,23.31379765,11.24212305,287.6198905,-0.6941186359999999,1.665851474,0.001013317,0.43131001,4,662,5
55,2013/1/4,117.8548866,44.55068244,0,1098,0,48,0,0,0,52,0,0,0,0,0,0,24.07967008,9.26568877,247.2567618,4.861188156,0.200670626,6.979999999999999e-05,0.052934998,33,361,1
56,2016/3/22,123.48288,46.01738,1,132,48,0,0,0,0,52,0,0,0,0,0,0,17.15092609,1.638223211,275.754303,0.722437825,-0.081048352,2.97e-05,0.14,48,400,3
57,2019/2/11,90.78411384,45.29170301,0,2329,17,33,0,0,0,51,0,0,0,0,0,0,104.3585522,104.9972542,257.0639648,-0.496655247,1.309665722,0.00035782,0.052440002,0,191,2
58,2015/8/10,132.8832,45.01248,1,67,21,64,0,0,3,0,12,0,0,0,0,0,30.52455879,2.452574296,296.12807789999994,1.288868425,2.25476253,0.006368542,0.70115498,0,622,8
59,2018/12/3,123.5452764,41.23791396,0,94,0,0,23,0,26,0,29,22,0,0,0,0,4.284548642,0.0,270.4816502,-0.207111886,-0.081969083,0.000562386,0.209175,15,797,12
60,2016/8/23,132.85234,44.93368,1,69,24,64,0,0,5,0,7,0,0,0,0,0,23.41188722,1.247357603,293.6837856,0.575039608,2.666732941,0.009775159,0.6987549809999999,0,626,8
61,2019/1/10,87.51483578,33.24689393,0,5091,0,18,0,0,0,68,0,0,0,13,0,0,156.7565775,16.37093356,255.92592510000003,2.8982270110000004,1.60898178,0.000259299,0.106565002,0,179,1
62,2016/4/7,99.95693444,39.93692125,0,1540,100,0,0,0,0,0,0,0,0,0,0,0,74.71922741,56.9769166,286.4423349,-0.363220002,-0.983949955,0.0,0.067040002,0,97,4
63,2016/8/30,112.1637659,22.59714015,0,55,0,49,11,0,4,0,30,0,0,6,0,0,5.4988907010000005,12.07090051,298.7652108,0.015473792,-1.635805147,0.009152821,0.77432002,158,1602,8
64,2013/3/27,125.731,38.222,1,83,38,57,0,0,0,0,4,1,0,0,0,0,78.51548965,0.653959275,274.665353,1.32833506,-1.075406347,1.06e-05,0.259055005,477,1063,3
65,2015/12/10,116.35221,28.76545,1,15,0,25,0,0,0,0,8,16,34,17,0,0,26.70655632,0.0,283.4740601000001,-0.136555727,-1.809546581,0.0027262320000000003,0.308125,226,1300,12
66,2019/4/23,114.5729518,30.12618186,1,34,0,100,0,0,0,0,0,0,0,0,0,0,17.94204401,0.7925632659999999,295.1869855,-1.065062378,-0.246617445,0.0024815460000000003,0.45135498,197,1349,4
67,2015/2/23,119.93672,34.37616,1,0,19,0,0,0,0,0,0,55,24,0,0,2,8.751583802999999,0.0,278.5477164,-1.140082964,-2.0041774,0.000749705,0.140784998,1,814,2
68,2015/6/27,133.8413,46.30561,1,56,32,61,0,0,3,0,4,0,0,0,0,0,29.67226952,2.64017411,292.21943010000007,0.357981503,1.956099293,0.00306523,0.78980498,0,633,6
69,2015/2/18,125.784501,45.64273177,0,126,19,81,0,0,0,0,0,0,0,0,0,0,19.43917019,0.146572649,269.19162420000004,-0.07879225299999999,-1.642415745,0.000849369,0.146165002,17,502,2
70,2015/4/28,128.60508000000002,53.28236,1,296,8,20,0,0,29,10,19,0,0,13,0,0,49.53445607,24.63854851,279.8837062,0.995026614,-0.262104775,0.000822112,0.27136499,0,571,4
71,2016/12/8,115.59008,40.29323,1,474,0,78,0,0,0,11,0,0,0,11,0,0,3.894877687,0.0,271.0722133,1.622180257,-0.288643599,2.87e-05,0.12325,19,420,12
72,2013/11/20,88.09855547,40.26324982,0,848,100,0,0,0,0,0,0,0,0,0,0,0,177.8515746,36.86083274,272.6646772,0.503167468,-0.009598528,1.49e-08,0.071434998,0,28,11
73,2016/6/20,129.09502,63.40144,1,80,0,0,0,0,55,0,22,0,0,22,0,0,46.52451669,0.433948035,285.7428458,1.865639942,-0.595903635,0.000669329,0.7234299809999999,0,243,6
74,2016/7/7,132.70382,45.45796,1,73,13,76,0,0,0,0,10,0,0,0,0,0,32.87376297,14.79578878,295.0280457,1.220345293,0.4772276620000001,0.002303319,0.7349549809999999,25,578,7
75,2015/6/5,104.4674111,34.07011611,0,1968,0,47,0,0,0,53,0,0,0,0,0,0,9.651858997,60.53845188,286.0136893,-0.415173999,-0.184802883,0.002588755,0.59436499,103,601,6
76,2014/7/5,97.8258218,34.43933023,0,4448,0,29,0,0,0,71,0,0,0,0,0,0,76.76473897,8.024407352999999,279.21227589999995,0.012808021,-0.248868018,0.002788751,0.54204502,0,379,7
77,2016/9/24,107.4029358,41.90215058,0,1416,100,0,0,0,0,0,0,0,0,0,0,0,46.99235784,84.0310646,287.7282715,0.489960389,1.776622163,0.000219714,0.121119995,0,141,9
78,2015/12/23,116.36464,28.75011,1,14,0,12,0,0,0,8,0,30,26,24,0,0,27.89321096,0.0,281.3545183,0.383196873,-3.77399121,0.003208623,0.308125,602,1307,12
79,2014/12/21,129.29034,42.75477,1,271,33,61,0,0,0,0,6,0,0,0,0,0,9.38382585,16.79109722,261.9851205,2.531270776,-0.415044044,0.000216719,0.212455005,90,557,12
80,2016/8/31,132.80758,46.0341,1,71,6,72,0,0,4,0,17,0,0,0,0,0,12.17777442,3.983769415,293.5028163,-2.405446759,0.507853806,0.007182101,0.81117002,12,560,8
81,2014/10/30,133.05406000000002,45.07808,1,68,3,62,0,0,9,0,26,0,0,0,0,0,35.95941346,21.7527195,275.8264901,1.526741675,-1.341758847,0.001270683,0.373305005,0,626,10
82,2019/3/3,115.3972876,29.87128717,1,14,0,60,0,0,0,0,0,40,0,0,0,0,4.010979526,0.0,281.6943621000001,-0.689828685,0.061567365,0.003142916,0.277969995,130,1409,3
83,2012/5/11,128.947,48.721,1,388,0,38,7,0,8,13,34,0,0,0,0,0,81.14785991,3.313637139,283.4944022,-0.913864178,0.544445591,0.001255209,0.467875,1,650,5
84,2017/11/27,120.7944353,14.359515599999998,1,14,0,27,0,0,0,0,0,73,0,0,0,0,2.84509978,0.0,300.454289,-4.586255789,-1.931461964,0.000370599,-0.3,2107,2039,11
85,2019/4/17,101.0404045,34.90144926,0,4345,0,48,0,0,0,52,0,0,0,0,0,0,49.29765514,69.95844183,273.3885716,1.26704944,0.287050004,0.001350141,0.23033501,0,567,4
86,2014/8/9,126.8793991,47.42162847,0,226,0,100,0,0,0,0,0,0,0,0,0,0,6.943357261,20.06327574,293.4249921,-0.538524934,0.189971839,0.000226392,0.8418099609999999,408,547,8
